"fdcId","description","dataType","calories","protein","fat","carbs"
"1098515","Chicken drumstick, baked, coated, skin / coating not eaten","Survey (FNDDS)","168","23.6","7.53","0"
"1098516","Chicken thigh, NS as to cooking method, skin eaten","Survey (FNDDS)","226","22.5","15.1","0.12"
"1098517","Chicken thigh, NS as to cooking method, skin not eaten","Survey (FNDDS)","193","24.1","10.7","0"
"1098518","Chicken thigh, baked, broiled, or roasted, skin eaten, from raw","Survey (FNDDS)","231","23.1","14.6","0"
"1098519","Chicken thigh, baked, broiled, or roasted, skin not eaten, from raw","Survey (FNDDS)","178","24.6","8.1","0"
"1098520","Chicken thigh, baked or broiled, skin eaten, from pre-cooked","Survey (FNDDS)","226","22.5","15.1","0.12"
"1098521","Chicken thigh, baked or broiled, skin not eaten, from pre-cooked","Survey (FNDDS)","193","24.1","10.7","0"
"1098522","Chicken thigh, baked or broiled, skin eaten, from fast food / restaurant","Survey (FNDDS)","243","22.6","16.2","0"
"1098523","Chicken thigh, baked or broiled, skin not eaten, from fast food / restaurant","Survey (FNDDS)","191","24","9.89","0"
"1098524","Chicken thigh, rotisserie, skin eaten","Survey (FNDDS)","226","22.5","15.1","0.12"
"1098525","Chicken thigh, rotisserie, skin not eaten","Survey (FNDDS)","193","24.1","10.7","0"
"1098526","Chicken thigh, stewed, skin eaten","Survey (FNDDS)","227","22.4","15.3","0"
"1098527","Chicken thigh, stewed, skin not eaten","Survey (FNDDS)","175","24.4","8.56","0"
"1098528","Chicken thigh, grilled without sauce, skin eaten","Survey (FNDDS)","243","22.6","16.3","0"
"1098529","Chicken thigh, grilled without sauce, skin not eaten","Survey (FNDDS)","192","24.1","9.91","0"
"1098530","Chicken thigh, grilled with sauce, skin eaten","Survey (FNDDS)","232","18.6","13.8","7.28"
"1098531","Chicken thigh, grilled with sauce, skin not eaten","Survey (FNDDS)","190","19.8","8.56","7.28"
"1098532","Chicken thigh, sauteed, skin eaten","Survey (FNDDS)","243","22.6","16.3","0"
"1098533","Chicken thigh, sauteed, skin not eaten","Survey (FNDDS)","192","24.1","9.91","0"
"1098534","Chicken thigh, fried, coated, skin / coating eaten, from raw","Survey (FNDDS)","271","19","18.6","5.91"
"1098535","Chicken thigh, fried, coated, skin / coating not eaten, from raw","Survey (FNDDS)","192","24.1","9.93","0"
"1098536","Chicken thigh, fried, coated, prepared skinless, coating eaten, from raw","Survey (FNDDS)","230","20.1","13.5","5.9"
"1098537","Chicken thigh, fried, coated, skin / coating eaten, from pre-cooked","Survey (FNDDS)","276","18.2","19","7.07"
"1098538","Chicken thigh, fried, coated, skin / coating not eaten, from pre-cooked","Survey (FNDDS)","192","24.1","9.91","0"
"1098539","Chicken thigh, fried, coated, skin / coating eaten, from fast food","Survey (FNDDS)","293","16.2","19.6","12.9"
"1098540","Chicken thigh, fried, coated, skin / coating not eaten, from fast food","Survey (FNDDS)","217","19.4","12.8","6.24"
"1098541","Chicken thigh, fried, coated, skin / coating eaten, from restaurant","Survey (FNDDS)","293","16.2","19.6","12.9"
"1098542","Chicken thigh, fried, coated, skin / coating not eaten, from restaurant","Survey (FNDDS)","217","19.4","12.8","6.24"
"1098543","Chicken thigh, baked, coated, skin / coating eaten","Survey (FNDDS)","240","20.9","15","3.93"
"1098544","Chicken thigh, baked, coated, skin / coating not eaten","Survey (FNDDS)","192","24.1","9.91","0"
"1098545","Chicken wing, NS as to cooking method","Survey (FNDDS)","257","23.4","18","0.6"
"1098546","Chicken wing, baked, broiled, or roasted, from raw","Survey (FNDDS)","252","23.6","16.7","0"
"1098547","Chicken wing, baked or broiled, from pre-cooked","Survey (FNDDS)","257","23.4","18","0.6"
"1098548","Chicken wing, baked or broiled, from fast food / restaurant","Survey (FNDDS)","264","23.1","18.4","0"
"1098549","Chicken wing, rotisserie","Survey (FNDDS)","257","23.4","18","0.6"
"1098550","Chicken wing, stewed","Survey (FNDDS)","247","22.6","16.7","0"
"1098551","Chicken wing, grilled without sauce","Survey (FNDDS)","265","23.1","18.4","0"
"1098552","Chicken wing, grilled with sauce","Survey (FNDDS)","250","19","15.5","7.28"
"1098553","Chicken wing, sauteed","Survey (FNDDS)","265","23.1","18.4","0"
"1098554","Chicken wing, fried, coated, from raw","Survey (FNDDS)","288","19.4","20.2","5.9"
"1098555","Chicken wing, fried, coated, from pre-cooked","Survey (FNDDS)","292","18.6","20.6","7.07"
"1098556","Chicken wing, fried, coated, from fast food","Survey (FNDDS)","322","17.7","21.2","14.9"
"1098557","Chicken wing, fried, coated, from restaurant","Survey (FNDDS)","322","17.7","21.2","14.9"
"1098558","Chicken wing, baked, coated","Survey (FNDDS)","259","21.4","16.8","3.93"
"1098559","Chicken ""wings"" with hot sauce, from fast food / restaurant","Survey (FNDDS)","271","16.8","20.1","6.18"
"1098560","Chicken ""wings"" with other sauces or seasoning, from fast food / restaurant","Survey (FNDDS)","276","17","17.4","13.1"
"1098561","Chicken ""wings"", plain, from fast food / restaurant","Survey (FNDDS)","322","17.7","21.2","14.9"
"1098562","Chicken ""wings"" with hot sauce, from precooked","Survey (FNDDS)","252","17.6","19.4","2.5"
"1098563","Chicken ""wings"" with other sauces or seasoning, from precooked","Survey (FNDDS)","257","17.7","16.7","9.42"
"1098564","Chicken ""wings"", plain, from precooked","Survey (FNDDS)","292","18.6","20.6","7.07"
"1098565","Chicken ""wings"" with hot sauce, from other sources","Survey (FNDDS)","265","17","19.9","5.08"
"1098566","Chicken ""wings"" with other sauces or seasoning, from other sources","Survey (FNDDS)","270","17.2","17.2","12"
"1098567","Chicken ""wings"", plain, from other sources","Survey (FNDDS)","313","18","21","12.6"
"1098568","Chicken ""wings"", boneless, with hot sauce, from fast food / restaurant","Survey (FNDDS)","281","12.4","16.8","20"
"1098569","Chicken ""wings"", boneless, with hot sauce, from other sources","Survey (FNDDS)","231","11.4","11.8","20"
"1098570","Chicken, back","Survey (FNDDS)","298","25.7","20.8","0"
"1098571","Chicken, neck or ribs","Survey (FNDDS)","245","19.4","18","0"
"1098572","Chicken, tail","Survey (FNDDS)","454","20.4","40.7","0"
"1098573","Chicken skin","Survey (FNDDS)","450","20.2","40.3","0"
"1098574","Chicken feet","Survey (FNDDS)","215","19.4","14.6","0.2"
"1098575","Chicken, canned, meat only","Survey (FNDDS)","185","25.3","8.1","0.9"
"1098576","Chicken, chicken roll, roasted","Survey (FNDDS)","164","26.7","6.33","0"
"1098577","Chicken patty, breaded","Survey (FNDDS)","287","14.8","19.6","12.8"
"1098578","Chicken fillet, breaded","Survey (FNDDS)","240","14.6","13.6","14.9"
"1098579","Chicken fillet, grilled","Survey (FNDDS)","150","22.3","5.81","2.37"
"1098580","Chicken, ground","Survey (FNDDS)","201","27.1","10.3","0"
"1098581","Chicken nuggets, NFS","Survey (FNDDS)","307","15.9","20.4","14.9"
"1098582","Chicken nuggets, from fast food","Survey (FNDDS)","307","15.9","20.4","14.9"
"1098583","Chicken nuggets, from restaurant","Survey (FNDDS)","307","15.9","20.4","14.9"
"1098584","Chicken nuggets, from school lunch","Survey (FNDDS)","270","15.7","12.9","22.9"
"1098585","Chicken nuggets, from frozen","Survey (FNDDS)","298","13.4","19.2","17.9"
"1098586","Chicken nuggets, from other sources","Survey (FNDDS)","304","15.2","20","15.8"
"1098587","Chicken tenders or strips, NFS","Survey (FNDDS)","271","19.2","14","17.2"
"1098588","Chicken tenders or strips, breaded, from fast food","Survey (FNDDS)","271","19.2","14","17.2"
"1098589","Chicken tenders or strips, breaded, from restaurant","Survey (FNDDS)","283","18.8","15.6","16.9"
"1098590","Chicken tenders or strips, breaded, from school lunch","Survey (FNDDS)","270","15.7","12.9","22.9"
