"fdcId","description","dataType","calories","protein","fat","carbs"
"167579","Candies, fudge, vanilla, prepared-from-recipe","SR Legacy","383","1.05","5.45","82.2"
"167580","Candies, fudge, vanilla with nuts","SR Legacy","435","3","13.7","74.6"
"167581","Candies, NESTLE, GOOBERS Chocolate Covered Peanuts","SR Legacy","512","9.7","34","53"
"167582","Candies, NESTLE, BABY RUTH Bar","SR Legacy","475","5.4","21.6","64.8"
"167583","Candies, TWIZZLERS Strawberry Twists Candy","SR Legacy","348","2.56","2.32","79.2"
"167584","Syrups, table blends, pancake, with butter","SR Legacy","291","0","0.09","72.4"
"167585","Ice creams, chocolate, light","SR Legacy","187","5","7.19","25.7"
"167586","Candies, NESTLE, CHUNKY Bar","SR Legacy","519","7.5","27.5","60.4"
"167587","Candies, milk chocolate","SR Legacy","535","7.65","29.7","59.4"
"167588","Puddings, banana, dry mix, instant, prepared with 2% milk","SR Legacy","105","2.76","1.7","19.7"
"167589","Puddings, banana, dry mix, regular, prepared with 2% milk","SR Legacy","101","2.9","1.73","18.4"
"167590","Andrea's, Gluten Free Soft Dinner Roll","SR Legacy","257","5.65","8.2","40.2"
"167591","Crunchmaster, Multi-Grain Crisps, Snack Crackers, Gluten-Free","SR Legacy","456","10.9","15.9","67.2"
"167592","Glutino, Gluten Free Cookies, Chocolate Vanilla Creme","SR Legacy","474","2.19","17.9","76"
"167593","Glutino, Gluten Free Cookies, Vanilla Creme","SR Legacy","487","2.19","18.8","77.3"
"167594","Pepperidge Farm, Goldfish, Baked Snack Crackers, Original","SR Legacy","467","9.42","18.4","65.8"
"167595","Pepperidge Farm, Goldfish, Baked Snack Crackers, Parmesan","SR Legacy","459","11.2","17.3","64.7"
"167596","Pepperidge Farm, Goldfish, Baked Snack Crackers, Pizza","SR Legacy","469","9.67","18.9","65.1"
"167597","Rudi's, Gluten-Free Bakery, Original Sandwich Bread","SR Legacy","320","3.13","10.7","52.8"
"167598","Udi's, Gluten Free, Soft & Delicious White Sandwich Bread","SR Legacy","298","5.4","8.02","51.2"
"167599","Udi's, Gluten Free, Soft & Hearty Whole Grain Bread","SR Legacy","309","7.25","9.34","49.1"
"167600","Udi's, Gluten Free, Whole Grain Dinner Rolls","SR Legacy","329","11.8","11.6","44.3"
"167601","Van's, Gluten Free, Totally Original Pancakes","SR Legacy","215","3.31","4.55","40.3"
"167602","Seaweed, Canadian Cultivated EMI-TSUNOMATA, dry","SR Legacy","259","15.3","1.39","46.2"
"167603","Seaweed, Canadian Cultivated EMI-TSUNOMATA, rehydrated","SR Legacy","31","1.86","0.17","5.62"
"167604","Potatoes, hash brown, refrigerated, unprepared","SR Legacy","84","1.75","0.08","19.2"
"167605","Potatoes, hash brown, refrigerated, prepared, pan-fried in canola oil","SR Legacy","242","3.24","10.3","34"
"167606","Sweet Potatoes, french fried, frozen as packaged, salt added in processing","SR Legacy","182","2.16","8.92","35.6"
"167607","Moose, meat, raw (Alaska Native)","SR Legacy","103","22.3","1.5","0"
"167608","Mashu roots, raw (Alaska Native)","SR Legacy","135","5.8","2.4","22.6"
"167609","Moose, liver, braised (Alaska Native)","SR Legacy","155","24.4","4.89","3.43"
